Category,Product Name,Product Price,Per Unit Price,URL
El-Mercado,Tomate kumato a granel 1 Kg aprox,"1,13 €","2,29 €/kg",https://www.carrefour.es/supermercado/croissants-clasicos-carrefour-350-g-carrefour/R-521007194/p
El-Mercado,Ensalada gourmet Carrefour 200 g,"0,99 €","5,95 €/kg",https://www.carrefour.es/supermercado/pina-golden-ripe-2-kg-aprox-carrefour/R-521032201/p
El-Mercado,Salmón Calidad y Origen Carrefour 1 ud de 3 kg aprox,"0,99 €","6,99 €/kg",https://www.carrefour.es/supermercado/pina-golden-ripe-2-kg-aprox-carrefour/R-521032201/p
El-Mercado,Croissants rellenos de crema de cacao Carrefour 360 g.,"5,50 €","3,14 €/kg",https://www.carrefour.es/supermercado/pan-rallado-carrefour-500-g-carrefour/R-805763833/p
El-Mercado,Queso de untar Carrefour 300 g.,"2,90 €","3,30 €/kg",https://www.carrefour.es/supermercado/pan-rallado-carrefour-500-g-carrefour/R-805763833/p
El-Mercado,Judías verdes planas Carrefour 1 kg.,"1,84 €","0,99 €/kg",https://www.carrefour.es/supermercado/calabaza-sepallo-a-granel-1-5-kg-aprox/R-529916709/p
El-Mercado,Mandarina Calidad y Origen Carrefour 1 kg,"1,55 €","1,59 €/kg",https://www.carrefour.es/supermercado/mandarina-calidad-y-origen-carrefour-1-kg/R-fprod1480013/p
El-Mercado,Tiras de bacon sabor ahumado Carrefour sin gluten pack de 2 unidades de 100 g.,"1,79 €","7,75 €/kg",https://www.carrefour.es/supermercado/mandarina-calidad-y-origen-carrefour-1-kg/R-fprod1480013/p
El-Mercado,Jamón cocido extra sin fosfatos Bonnatur Argal al corte 150 g aprox,"0,99 €","11,95 €/kg",https://www.carrefour.es/supermercado/tiras-de-bacon-sabor-ahumado-carrefour-sin-gluten-pack-de-2-unidades-de-100-g-carrefour/R-831313923/p
El-Mercado,Pan de molde sin corteza Carrefour 450 g.,"1,48 €","2,20 €/kg",https://www.carrefour.es/supermercado/tiras-de-bacon-sabor-ahumado-carrefour-sin-gluten-pack-de-2-unidades-de-100-g-carrefour/R-831313923/p
El-Mercado,Masa para empanadillas y postres Buitoni 280 g.,"0,93 €","5,29 €/kg",https://www.carrefour.es/supermercado/jamon-cocido-extra-sin-fosfatos-bonnatur-argal-al-corte-150-g-aprox-argal-bonnatur/R-536500299/p
El-Mercado,Pan de leche Carrefour 350 g.,"1,48 €","2,66 €/kg",https://www.carrefour.es/supermercado/jamon-cocido-extra-sin-fosfatos-bonnatur-argal-al-corte-150-g-aprox-argal-bonnatur/R-536500299/p
El-Mercado,Jamón cocido extra en lonchas finas 200 g,"1,55 €","7,40 €/kg",https://www.carrefour.es/supermercado/pan-de-molde-sin-corteza-carrefour-450-g/R-VC4AECOMM-443179/p
El-Mercado,Fresón tarrina 500 g,"2,27 €","3,78 €/kg",https://www.carrefour.es/supermercado/pan-de-molde-sin-corteza-carrefour-450-g/R-VC4AECOMM-443179/p
El-Mercado,Filetes de merluza sin piel Pescanova 400 g.,"0,78 €","10,55 €/kg",https://www.carrefour.es/supermercado/masa-para-empanadillas-y-postres-buitoni-280-g-buitoni/R-521030336/p
El-Mercado,Salchichas cocidas Wieners bocadillo Oscar Mayer 275 g.,"3,30 €","5,64 €/kg",https://www.carrefour.es/supermercado/masa-para-empanadillas-y-postres-buitoni-280-g-buitoni/R-521030336/p
El-Mercado,Preparado para cocido Carrefour 450 g aprox,"3,41 €","5,05 €/kg",https://www.carrefour.es/supermercado/promocion?promoId=promof2530060
El-Mercado,Pan de hamburguesa maxi Carrefour 4 ud.,"3,44 €","2,60 €/kg",https://www.carrefour.es/supermercado/pan-de-leche-carrefour-350-g-carrefour/R-prod550021/p
El-Mercado,Arándanos Carrefour 250 g,"3,39 €","13,20 €/kg",https://www.carrefour.es/supermercado/pan-de-leche-carrefour-350-g-carrefour/R-prod550021/p
El-Mercado,"Trozo de lomo de cerdo Carrefour 1,2 kg aprox","1,59 €","3,89 €/kg",https://www.carrefour.es/supermercado/jamon-cocido-extra-en-lonchas-finas-200-g-carrefour/R-fprod1200252/p
El-Mercado,Chuleta de pavo marinada al ajillo Kovo 600 g aprox,"0,99 €","5,69 €/kg",https://www.carrefour.es/supermercado/jamon-cocido-extra-en-lonchas-finas-200-g-carrefour/R-fprod1200252/p
El-Mercado,Pechuga de pavo Campofrío Finissimas 170 g.,"4,95 €","15,29 €/kg",https://www.carrefour.es/supermercado/freson-tarrina-500-g-carrefour/R-521032196/p
El-Mercado,Naranja Calidad y Origen a granel 1 Kg aprox,"5,45 €","1,19 €/kg",https://www.carrefour.es/supermercado/freson-tarrina-500-g-carrefour/R-521032196/p
El-Mercado,Contramuslo de pollo Carrefour 1 kg aprox,"1,70 €","3,44 €/kg",https://www.carrefour.es/supermercado/filetes-de-merluza-sin-piel-pescanova-400-g-pescanova/R-521031239/p
El-Mercado,Corazón de cogollos de lechuga 500 g,"1,79 €","3,58 €/kg",https://www.carrefour.es/supermercado/corazon-de-cogollos-de-lechuga-500-g-calidad-y-origen-carrefour/R-521032337/p
El-Mercado,Pan de molde rebanada estilo artesano Bimbo 600 g.,"0,87 €","3,50 €/kg",https://www.carrefour.es/supermercado/corazon-de-cogollos-de-lechuga-500-g-calidad-y-origen-carrefour/R-521032337/p
El-Mercado,Granada Carrefour a granel 500 g aprox,"0,67 €","1,75 €/kg",https://www.carrefour.es/supermercado/pan-de-molde-rebanada-estilo-artesano-bimbo-600-g-bimbo/R-829845014/p
El-Mercado,Panecillos para perritos calientes Carrefour 330 g.,"1,00 €","2,03 €/kg",https://www.carrefour.es/supermercado/pan-de-molde-rebanada-estilo-artesano-bimbo-600-g-bimbo/R-829845014/p
El-Mercado,Pan Carrefour 5 ud,"2,00 €","2,50 €/kg",https://www.carrefour.es/supermercado/promocion?promoId=promof2530056
El-Mercado,Queso rulo de cabra Carrefour 180 g,"2,75 €","11,11 €/kg",https://www.carrefour.es/supermercado/granada-carrefour-a-granel-500-g-aprox/R-fprod1480259/p
El-Mercado,Longaniza blanca fresca La Nuncia 500 g,"2,29 €","5,50 €/kg",https://www.carrefour.es/supermercado/granada-carrefour-a-granel-500-g-aprox/R-fprod1480259/p
El-Mercado,Pimiento verde 1 Kg,"1,35 €","2,29 €/kg",https://www.carrefour.es/supermercado/panecillos-para-perritos-calientes-carrefour-330-g-carrefour/R-fprod1230187/p
