Competitor ,Country_code,City_code,hex7_tag,Restaurant Name,,,Food tag 1,Schdeule,Min. Order Price,Delivery Cost,Restaurant Link,Created_at,Updated_at
tazz.ro,RO,CLJ,871e0b382ffffff,Cartofisserie - Iulius Mall Cluj-Napoca,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/cartofisserie-iulius-mall-cluj-napoca/3668/partener,30/10/2020 13:27:18,30/10/2020 13:27:18
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Pizza Texas,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/pizza-texas/3825/partener,30/10/2020 13:27:19,30/10/2020 13:27:19
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Bistro Engels Croco,,,InternaÈ›ional ,Deschide în 02.11 la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/bistro-engels-croco/4185/partener,30/10/2020 13:27:20,30/10/2020 13:27:20
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Casa Floresteana,,,InternaÈ›ional ,Deschide la 11:15,15.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/casa-floresteana/3941/partener,30/10/2020 13:27:21,30/10/2020 13:27:21
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Il Migliore,,,Italian ,Deschide la 10:00,30.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/il-migliore/4072/partener,30/10/2020 13:27:22,30/10/2020 13:27:22
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,NATIV,,,InternaÈ›ional ,Deschide la 12:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/nativ/4209/partener,30/10/2020 13:27:23,30/10/2020 13:27:23
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Rebreanu 3,,,RomÃ¢nesc ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/rebreanu-3/4122/partener,30/10/2020 13:27:24,30/10/2020 13:27:24
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Salad Box Cluj The Office,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/salad-box-cluj-the-office/4039/partener,30/10/2020 13:27:25,30/10/2020 13:27:25
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Gente Senior,,,Italian ,Deschide la 12:00,50.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/gente-senior/4220/partener,30/10/2020 13:27:25,30/10/2020 13:27:25
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Meat lovers by Maricarn,,,RomÃ¢nesc ,Deschide la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/meat-lovers-by-maricarn/3816/partener,30/10/2020 13:27:26,30/10/2020 13:27:26
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Nobile Pizza,,,InternaÈ›ional ,Deschide la 10:00,40.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/nobile-pizza/4235/partener,30/10/2020 13:27:27,30/10/2020 13:27:27
,,,,,,,,,,,,,
