Competitor,Sourcing_competitor,Restaurant_name,Tags,Average_basket_value,Country,City,City_code,Address,Postal_code,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website,URL,Takeaway,Delivery
Yelp,sourcing_yelp,Katogui,Greek,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida del Mediterráneo, 12229730 Rincón de la Victoria",NA,NA,NA,952 970 372,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/katogui-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Lisaba,Restaurants,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida del Mediterraneo, 13729730 Rincon De La Victoria",NA,NA,NA,952 970 206,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/lisaba-rincon-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Albala,Mediterranean,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida de la Torre, 1829730 Rincón de la Victoria",NA,NA,NA,674 302 487,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/albala-rinc%C3%B3n-de-la-victoria,NA,NA
Yelp,sourcing_yelp,Sanchez Redondo Juan Carlos,Restaurants,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida del Mediterraneo, 2429730 Rincon De La Victoria",NA,NA,NA,952 407 229,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/sanchez-redondo-juan-carlos-rincon-de-la-victoria,NA,NA
Yelp,sourcing_yelp,"Rincon de Miguel Avenida de la Torre, 28",Restaurants,NA,Spain,RincÃ³n de la Victoria,RIV,"Avenida Torre, 2829730 Rincon Victoria",NA,NA,NA,952 401 145,4.5,NA,https://www.yelp.com,https://www.yelp.com/biz/rincon-de-miguel-avenida-de-la-torre-28-rincon-victoria,NA,NA
Yelp,sourcing_yelp,Magda Subirana,"Seafood, Spanish",NA,Spain,Vic,VIK,"Carrer de Sant Sadurni, 408500 Vic",NA,NA,NA,938 890 212,4,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/magda-subirana-vic,NA,NA
Yelp,sourcing_yelp,Can Ralet,"Catalan, Tapas Bars",NA,Spain,Vic,VIK,"Calle Gurb, 2208500 Vic",NA,NA,NA,938 869 749,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/can-ralet-vic,NA,NA
Yelp,sourcing_yelp,Corretgers 6,Spanish,NA,Spain,Vic,VIK,"Calle Corretgers, 608500 Vic",NA,NA,NA,938 891 777,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/corretgers-6-vic,NA,NA
Yelp,sourcing_yelp,Mas Ricart,"Modern European, Catalan",NA,Spain,Vic,VIK,"Carretera de Manlleu, Km. 208503 Gurb",NA,NA,NA,938 866 203,5,1 review,https://www.yelp.com,https://www.yelp.com/biz/mas-ricart-gurb,NA,NA
Yelp,sourcing_yelp,Restaurante Samsara,Restaurants,NA,Spain,Vic,VIK,Pare Gallisà 508500 Vic,NA,NA,NA,616 125 722,5,1 review,https://www.yelp.com,https://www.yelp.com/biz/restaurante-samsara-vic,NA,NA
Yelp,sourcing_yelp,La Creperia,Creperies,NA,Spain,Vic,VIK,"Plaça de Sant Felip, 908500 Vic",NA,NA,NA,938 863 781,4,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-creperia-vic,NA,NA
Yelp,sourcing_yelp,Fussimanya,"Catalan, Brasseries",NA,Spain,Vic,VIK,"Carretera Parador, km 708519 Tavernoles",NA,NA,NA,938 122 188,5,7 reviews,https://www.yelp.com,https://www.yelp.com/biz/fussimanya-tavernoles,NA,NA
Yelp,sourcing_yelp,Ca l'U,Catalan,NA,Spain,Vic,VIK,"Carrer de la Riera, 2508500 Vic",NA,NA,NA,938 890 345,3.5,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/ca-l-u-vic,NA,NA
Yelp,sourcing_yelp,Restaurante Zona Diesel,Restaurants,NA,Spain,Vic,VIK,Carretera Barcelona 008500 Vic,NA,NA,NA,938 869 077,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/restaurante-zona-diesel-vic,NA,NA
Yelp,sourcing_yelp,Puiglagulla,Spanish,NA,Spain,Vic,VIK,Santuari de Puiglagulla08504 Sant Julià de Vilatorta,NA,NA,NA,938 888 210,5,1 review,https://www.yelp.com,https://www.yelp.com/biz/puiglagulla-sant-juli%C3%A0-de-vilatorta,NA,NA
Yelp,sourcing_yelp,L'olla de Grils,Spanish,NA,Spain,Vic,VIK,Calle Sant SebastiÀ 1208500 Vic,NA,NA,NA,938 861 626,4.5,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/l-olla-de-grils-vic,NA,NA
Yelp,sourcing_yelp,"Cafe NOU Plaça Major, 23",Restaurants,NA,Spain,Vic,VIK,"Plaza Major, 2308500 Vic",NA,NA,NA,938 862 502,3,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/cafe-nou-pla%C3%A7a-major-23-vic-2,NA,NA
Yelp,sourcing_yelp,Cal Joan de Vic,"Pizza, Coffee & Tea",NA,Spain,Vic,VIK,"Plaça de l'Estació, 308500 Vic",NA,NA,NA,938 835 952,5,NA,https://www.yelp.com,https://www.yelp.com/biz/cal-joan-de-vic-vic,NA,NA
Yelp,sourcing_yelp,Lizarran,Tapas/Small Plates,NA,Spain,Vic,VIK,"Carrer de Manlleu, 4008500 Barcelona",NA,NA,NA,938 861 788,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/lizarran-barcelona-10,NA,NA
Yelp,sourcing_yelp,Restaurante La Torre del Vilar,Spanish,NA,Spain,Vic,VIK,"Carretera Vic A Avinyó, s/n08505 Santa Eulàlia de Riuprimer",NA,NA,NA,938 137 024,5,1 review,https://www.yelp.com,https://www.yelp.com/biz/restaurante-la-torre-del-vilar-santa-eul%C3%A0lia-de-riuprimer,NA,NA
Yelp,sourcing_yelp,Restaurant El Jardinet de Vic,Restaurants,NA,Spain,Vic,VIK,"Calle Corretgers, 808500 Vic",NA,NA,NA,938 862 877,4,NA,https://www.yelp.com,https://www.yelp.com/biz/restaurant-el-jardinet-de-vic-vic,NA,NA
Yelp,sourcing_yelp,La Rambla 35,Cafeteria,NA,Spain,Vic,VIK,"Rambla del Carme, 3508500 Vic",NA,NA,NA,938 860 230,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/la-rambla-35-vic,NA,NA
Yelp,sourcing_yelp,La Saleta,Burgers,NA,Spain,Vic,VIK,"Carrer dels Corretgers, 508500 Vic",NA,NA,NA,938 861 902,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/la-saleta-vic-3,NA,NA
Yelp,sourcing_yelp,Le Petit Bistro,"Desserts, Bistros, Cocktail Bars",NA,Spain,Vic,VIK,"Plaça Major, 2508503 Vic",NA,NA,NA,931 897 090,4,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/le-petit-bistro-vic,NA,NA
Yelp,sourcing_yelp,El Bohemi,Restaurants,NA,Spain,Vic,VIK,Plaza Pietat 808500 Vic,NA,NA,NA,938 891 222,4,NA,https://www.yelp.com,https://www.yelp.com/biz/el-bohemi-vic,NA,NA
Yelp,sourcing_yelp,Antic Cafe del Centre,Coffee & Tea,NA,Spain,Vic,VIK,Calle Major 3508500 Vic,NA,NA,NA,938 851 991,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/antic-cafe-del-centre-vic,NA,NA
Yelp,sourcing_yelp,La Tagliatella,Italian,NA,Spain,Vic,VIK,"Carrer de Manlleu, 6108500 Vic",NA,NA,NA,938 860 288,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/la-tagliatella-vic,NA,NA
Yelp,sourcing_yelp,D O Vic,Restaurants,NA,Spain,Vic,VIK,"Calle Sant Miquel Dels Sants, 1608500 Vic",NA,NA,NA,938 832 396,3,NA,https://www.yelp.com,https://www.yelp.com/biz/d-o-vic-vic,NA,NA
Yelp,sourcing_yelp,Bar Nou Snack,Spanish,NA,Spain,Vic,VIK,Plaza Major 2708500 Vic,NA,NA,NA,938 891 170,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/bar-nou-snack-vic,NA,NA
Yelp,sourcing_yelp,La Tratto Boira,Restaurants,NA,Spain,Vic,VIK,"Plaza PES, 608500 Vic",NA,NA,NA,938 862 457,3,1 review,https://www.yelp.com,https://www.yelp.com/biz/la-tratto-boira-vic,NA,NA
Yelp,sourcing_yelp,Torre Simon,Restaurants,NA,Spain,Vic,VIK,Calle Doctor Bayes 7508551 Tona,NA,NA,NA,938 870 092,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/torre-simon-tona,NA,NA
Yelp,sourcing_yelp,La Solana dels Molins,Brasseries,NA,Spain,Vic,VIK,Carretera Viladrau a Seva17406 Viladrau,NA,NA,NA,938 849 835,3,1 review,https://www.yelp.com,https://www.yelp.com/biz/la-solana-dels-molins-viladrau,NA,NA
Yelp,sourcing_yelp,Vic Orange,Restaurants,NA,Spain,Vic,VIK,"Plaza Dels Sants Martirs, 808500 Vic",NA,NA,NA,938 890 358,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/vic-orange-vic,NA,NA
Yelp,sourcing_yelp,Planahostal,Restaurants,NA,Spain,Vic,VIK,"Calle Fusina, 1408500 Vic",NA,NA,NA,938 892 419,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/planahostal-vic,NA,NA
Yelp,sourcing_yelp,Sofia,"Spanish, Tapas Bars",NA,Spain,Vic,VIK,"Carretera de Roda, 6508500 Vic",NA,NA,NA,938 891 341,5,NA,https://www.yelp.com,https://www.yelp.com/biz/sofia-vic-2,NA,NA
Yelp,sourcing_yelp,Posada Rodriguez Pablo,Restaurants,NA,Spain,Vic,VIK,"C Torello, 3508500 Vic",NA,NA,NA,938 891 352,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/posada-rodriguez-pablo-vic-2,NA,NA
Yelp,sourcing_yelp,Bayes Roca Miquel,"Architects, Restaurants",NA,Spain,Vic,VIK,"Rambla Passeig, 14 - 4 308500 Vic",NA,NA,NA,938 862 250,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/bayes-roca-miquel-vic,NA,NA
Yelp,sourcing_yelp,Isern Serrabasa Juan,Restaurants,NA,Spain,Vic,VIK,"Plaza Sant Felip, 1008500 Vic",NA,NA,NA,938 863 154,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/isern-serrabasa-juan-vic,NA,NA
Yelp,sourcing_yelp,Tresserras Puertas Marta,Restaurants,NA,Spain,Vic,VIK,"Calle Sant Sadurni, 808500 Vic",NA,NA,NA,938 890 700,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/tresserras-puertas-marta-vic-2,NA,NA
Yelp,sourcing_yelp,Arrabiatavic,Restaurants,NA,Spain,Vic,VIK,"Calle Manlleu, 61 - BJ08500 Vic",NA,NA,NA,938 860 288,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/arrabiatavic-vic,NA,NA
Yelp,sourcing_yelp,Camps Sala Lluis,Restaurants,NA,Spain,Vic,VIK,"Plaza Pietat, 8 - BJ08500 Vic",NA,NA,NA,938 891 222,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/camps-sala-lluis-vic,NA,NA
Yelp,sourcing_yelp,Vikus's,"Coffee & Tea, Spanish",NA,Spain,Vic,VIK,"Carrer de Mataró, 608500 Vic",NA,NA,NA,938 868 332,5,NA,https://www.yelp.com,https://www.yelp.com/biz/vikuss-vic,NA,NA
Yelp,sourcing_yelp,Thepurpleot S.L.U,Restaurants,NA,Spain,Vic,VIK,"Calle Vergos, 508500 Vic",NA,NA,NA,938 863 895,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/thepurpleot-s-l-u-vic,NA,NA
Yelp,sourcing_yelp,Manils Martinez Fernando,Restaurants,NA,Spain,Vic,VIK,"Calle Sant Miquel Dels Sants, 5 - BJ08500 Vic",NA,NA,NA,938 861 810,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/manils-martinez-fernando-vic,NA,NA
Yelp,sourcing_yelp,Basset Restaurant SCP,Restaurants,NA,Spain,Vic,VIK,"C Sant Sadurni, 408500 Vic",NA,NA,NA,938 890 212,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/basset-restaurant-scp-vic,NA,NA
Yelp,sourcing_yelp,Cuina Catalana D'Osona,"Restaurants, Hotels",NA,Spain,Vic,VIK,"Pasaje Olost, 12 - BJ08500 Vic",NA,NA,NA,938 853 091,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/cuina-catalana-d-osona-vic,NA,NA
Yelp,sourcing_yelp,Restauradors del Call Nou,Restaurants,NA,Spain,Vic,VIK,"Calle Sant Just, 808500 Vic",NA,NA,NA,938 832 157,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/restauradors-del-call-nou-vic,NA,NA
Yelp,sourcing_yelp,Joan Reniu SCP,Restaurants,NA,Spain,Vic,VIK,"Calle Riera, 2508500 Vic",NA,NA,NA,938 890 345,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/joan-reniu-scp-vic,NA,NA
