Rappi,PE,Peru,TRU,Trujillo,El Olivar,"Criolla,",Sopas y Cremas,null,S/ 4.20,21 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Juan Valdez,"Café,",Desayunos,null,S/ 6.90,30 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,La Bendita Cocina,Criolla,null,null,S/ 6.50,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Zucarella,Postres,null,null,S/ 4.60,13 min,4.9
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Ala Kadabra,Alitas,null,null,S/ 5.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,MarialÃ©,Postres,null,null,S/ 7.00,30 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Coco Crepe,Postres,null,null,S/ 6.10,30 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Cafe Restaurante Las Rejas,"Café,",Carnes,null,S/ 4.60,39 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Ruah Polleria,Pollería,null,null,S/ 5.50,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Casa Quimuk Cocina Criolla,Criolla,null,null,S/ 3.80,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,SangucherÃ­a El Artesano,"Sándwiches,",Desayunos,null,S/ 7.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Crementina,"Postres,",Desayunos,null,S/ 4.60,28 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Koa Bowls,"Poke,",Desayunos,null,S/ 6.50,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,El Mero Cevicheria,Pescados y Mariscos,null,null,S/ 7.70,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Huancha,Pescados y Mariscos,null,null,S/ 5.00,21 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,El BÃºho SangucherÃ­a,"Sándwiches,",Alitas,null,S/ 4.60,30 min,4.2
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,El Carrito 100% Carne,"Carnes,","Hamburguesas,",Desayunos,S/ 6.90,40 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,MamÃ¡ MÃ­a Sandwiches,"Sándwiches,",Desayunos,null,S/ 6.50,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Fonzi Cafeteria & Restaurant,"Café,","Sándwiches,",Desayunos,S/ 5.40,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Olho Pasteleria,"Panadería,",Postres,null,S/ 7.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Cevicheria Ya Pez,Pescados y Mariscos,null,null,S/ 5.50,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,CreperÃ­a AmÃ©lie,Postres,null,null,S/ 5.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,TrujiFries,Alitas,null,null,S/ 6.10,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,MammaPizza,Pizzas,null,null,S/ 6.50,30 min,4.8
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Panca Y MaÃ­z,"Sándwiches,",Desayunos,null,S/ 5.50,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,fogos,Saludable,null,null,S/ 6.50,30 min,4.6
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Mr. Rondo,"Alitas,","Hamburguesas,",Desayunos,S/ 4.60,30 min,4.5
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Habemus Papas,Salchipapas,null,null,S/ 6.50,30 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Libeertad Draft And Food,Hamburguesas,null,null,S/ 5.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Tijuana Street Food,Mexicana,null,null,S/ 5.00,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,El Barrilito Express,"Alitas,",Saludable,null,S/ 6.50,30 min,4.9
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Mr. Doggo Express,Salchipapas,null,null,S/ 6.50,30 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Pizzeria IL Valentino Express,"Pizzas,",Pastas,null,S/ 7.00,37 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Pizzeria IL Valentino,Pizzas,null,null,S/ 4.10,26 min,4.7
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,El BurguÃ©s,"Salchipapas,","Hamburguesas,",Desayunos,S/ 7.00,46 min,4.4
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Antojitos Mexicanos La Botana,Mexicana,null,null,S/ 4.60,30 min,4.9
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Planeta Patata,Alitas,null,null,S/ 5.00,14 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,Contigo PerÃº,"Criolla,",Carnes,null,S/ 6.50,34 min,no rating
,,,,,,,,,,,
Rappi,PE,Peru,TRU,Trujillo,La CreperÃ­a,Postres,null,null,S/ 5.00,36 min,4.8
,,,,,,,,,,,
