Competitor,Sourcing_competitor,Restaurant_name,Tag,Average_basket_value,Min. Order,Country,City,City_code,Address,Postal_code,Latitude,Longitude,Phone_number,Rating,Number_of_reviews,Website, URL,Opening_hours,Delivery_charges
Tazz,sourcing_tazz,Drunken Rat,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str. George Cosbuc, nr. 1",N/A,45.75324307,21.23646541,N/A,4.6,1345,https://www.tazz.ro,https://tazz.ro/timisoara/drunken-rat/303/partener,"Luni  11:00 - 22:00
Marți  11:00 - 22:00
Miercuri  11:00 - 22:00
Joi  11:00 - 22:00
Vineri  11:00 - 22:00
Sâmbătă  11:00 - 22:00
Duminică  11:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,Berarescu,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Parcul Justitiei, nr. 1",N/A,45.75324307,21.23646541,N/A,4.6,760,https://www.tazz.ro,https://tazz.ro/timisoara/berarescu/516/partener,"Luni  10:00 - 21:30
Marți  10:00 - 21:30
Miercuri  10:00 - 21:30
Joi  10:00 - 21:30
Vineri  10:00 - 21:30
Sâmbătă  10:00 - 21:30
Duminică  10:00 - 21:30
","6 99 								Lei"
Tazz,sourcing_tazz,Riviere Brasserie,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Parcul Justitiei, nr. 1",N/A,45.75324307,21.23646541,N/A,4.5,176,https://www.tazz.ro,https://tazz.ro/timisoara/riviere-brasserie/435/partener,"Luni  10:00 - 21:30
Marți  10:00 - 21:30
Miercuri  10:00 - 21:30
Joi  10:00 - 21:30
Vineri  10:00 - 21:30
Sâmbătă  10:00 - 21:30
Duminică  10:00 - 21:30
","6 99 								Lei"
Tazz,sourcing_tazz,Papa Sam,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Strada Divizia 9 Cavalerie,N/A,45.75324307,21.23646541,N/A,4.5,2509,https://www.tazz.ro,https://tazz.ro/timisoara/papa-sam/1403/partener,"Luni  10:00 - 20:45
Marți  10:00 - 20:45
Miercuri  10:00 - 20:45
Joi  10:00 - 20:45
Vineri  10:00 - 20:45
Sâmbătă  10:00 - 20:45
Duminică  11:00 - 20:45
","6 99 								Lei"
Tazz,sourcing_tazz,Sushiful,Japonez ,N/A,50 00 Lei,Romania,Timisoara,TIM,"Str. Bucovinei, Nr. 49, Timisoara",N/A,45.75324307,21.23646541,N/A,4.7,22,https://www.tazz.ro,https://tazz.ro/timisoara/sushiful/4967/partener,"Luni  15:00 - 23:00
Marți  15:00 - 23:00
Miercuri  15:00 - 23:00
Joi  15:00 - 23:00
Vineri  15:00 - 23:00
Sâmbătă  12:00 - 23:00
Duminică  12:00 - 22:00
",Free Delivery
Tazz,sourcing_tazz,Casa Moc,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,Blv revolutiei 1989 nr 7,N/A,45.75324307,21.23646541,N/A,4.5,206,https://www.tazz.ro,https://tazz.ro/timisoara/casa-moc/3921/partener,"Luni  10:00 - 21:45
Marți  10:00 - 21:45
Miercuri  10:00 - 21:45
Joi  10:00 - 21:45
Vineri  10:00 - 21:45
Sâmbătă  10:00 - 21:45
Duminică  10:00 - 21:45
","6 99 								Lei"
Tazz,sourcing_tazz,Cowboys,American ,N/A,29 90 Lei,Romania,Timisoara,TIM,Aleea F.C. Ripensia 6,N/A,45.75324307,21.23646541,N/A,4.4,111,https://www.tazz.ro,https://tazz.ro/timisoara/cowboys/4210/partener,"Luni  11:00 - 22:00
Marți  11:00 - 22:00
Miercuri  11:00 - 22:00
Joi  11:00 - 22:00
Vineri  11:00 - 22:00
Sâmbătă  11:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,Miorita,RomÃ¢nesc ,N/A,40 00 Lei,Romania,Timisoara,TIM,Florimund mercy 7,N/A,45.75324307,21.23646541,N/A,4.3,256,https://www.tazz.ro,https://tazz.ro/timisoara/miorita/1431/partener,"Luni  10:00 - 22:00
Marți  10:00 - 22:00
Miercuri  10:00 - 22:00
Joi  10:00 - 22:00
Vineri  10:00 - 22:00
Sâmbătă  10:00 - 22:00
Duminică  10:00 - 22:00
",Free Delivery
Tazz,sourcing_tazz,Sis Kebab Lipovei,Turcesc ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Sf. Apostoli Petru si Pavel, Nr. 38",N/A,45.75324307,21.23646541,N/A,4.4,297,https://www.tazz.ro,https://tazz.ro/timisoara/sis-kebab-lipovei/4094/partener,"Luni  08:00 - 22:00
Marți  08:00 - 22:00
Miercuri  08:00 - 22:00
Joi  08:00 - 22:00
Vineri  08:00 - 22:00
Sâmbătă  08:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,FRYDAY,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Aristide Demetriade, Nr. 1, Iulius Town",N/A,45.75324307,21.23646541,N/A,4.3,546,https://www.tazz.ro,https://tazz.ro/timisoara/fryday/4584/partener,"Luni  10:00 - 21:00
Marți  10:00 - 21:00
Miercuri  10:00 - 21:00
Joi  10:00 - 21:00
Vineri  10:00 - 21:00
Sâmbătă  10:00 - 21:00
Duminică  10:00 - 21:00
","6 99 								Lei"
Tazz,sourcing_tazz,Irish Public House,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Str.Eugeniu de Savoya,nr.4",N/A,45.75324307,21.23646541,N/A,4.3,109,https://www.tazz.ro,https://tazz.ro/timisoara/irish-public-house/3943/partener,"Luni  10:00 - 21:00
Marți  10:00 - 21:00
Miercuri  10:00 - 21:00
Joi  10:00 - 21:00
Vineri  10:00 - 21:00
Sâmbătă  12:00 - 21:00
Duminică  12:00 - 21:00
","6 99 								Lei"
Tazz,sourcing_tazz,Iskender Kebab,InternaÈ›ional ,N/A,29 90 Lei,Romania,Timisoara,TIM,"Calea Sever Bocu, Nr. 82",N/A,45.75324307,21.23646541,N/A,4.3,23,https://www.tazz.ro,https://tazz.ro/timisoara/iskender-kebab/5008/partener,"Luni  09:00 - 22:00
Marți  09:00 - 22:00
Miercuri  09:00 - 22:00
Joi  09:00 - 22:00
Vineri  09:00 - 22:00
Sâmbătă  09:00 - 22:00
Duminică  09:00 - 22:00
","6 99 								Lei"
Tazz,sourcing_tazz,McDonaldâ€™s Stadion Timisoara,American ,N/A,30 00 Lei,Romania,Timisoara,TIM,Bulevardul Liviu Rebreanu,N/A,45.75324307,21.23646541,N/A,4.3,1544,https://www.tazz.ro,https://tazz.ro/timisoara/mcdonald-s-stadion-timisoara/1415/partener,"Luni  10:00 - 22:00
Marți  10:00 - 22:00
Miercuri  10:00 - 22:00
Joi  10:00 - 22:00
Vineri  10:00 - 22:00
Sâmbătă  10:00 - 22:00
Duminică  10:00 - 22:00
",Free Delivery
Tazz,sourcing_tazz,Dominion Pizza,InternaÈ›ional ,N/A,25 00 Lei,Romania,Timisoara,TIM,"Str. Pictor Theodor Aman, Nr.4",N/A,45.75324307,21.23646541,N/A,4.2,619,https://www.tazz.ro,https://tazz.ro/timisoara/dominion-pizza/1359/partener,"Luni  00:00 - 01:45
Marți  09:00 - 23:00
Miercuri  00:00 - 01:45
Joi  00:00 - 01:45
Vineri  09:00 - 24:00
Sâmbătă  00:00 - 01:45
Duminică  00:00 - 01:45
",Free Delivery
Tazz,sourcing_tazz,KFC Timisoara Centru,American ,N/A,30 00 Lei,Romania,Timisoara,TIM,Str. Goethe Nr. 2,N/A,45.75324307,21.23646541,N/A,4.2,2378,https://www.tazz.ro,https://tazz.ro/timisoara/kfc-timisoara-centru/1734/partener,"Luni  10:00 - 21:45
Marți  10:00 - 21:45
Miercuri  10:00 - 21:45
Joi  10:00 - 21:45
Vineri  10:00 - 21:45
Sâmbătă  10:00 - 21:45
Duminică  10:00 - 21:45
","2 99 								Lei"
