Yelp,sourcing_yelp,la Borda D'en Manel,Restaurants,NA,Spain,Cambrills,CBL,Avenida Barcelona 17243892 Miami-Platja,NA,NA,NA,977 810 422,4.5  ,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-borda-d-en-manel-miami-platja,NA,NA,NA
Yelp,sourcing_yelp,Namastay Bombay,Indian,NA,Spain,Cambrills,CBL,"Carrer de l'Església, 643840 Salou",NA,NA,NA,631 823 508,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/namastay-bombay-salou,NA,NA,NA
Yelp,sourcing_yelp,Beatriz,"Tapas/Small Plates, Spanish",NA,Spain,Cambrills,CBL,"Avinguda de la Diputació, 13443850 Cambrils",NA,NA,NA,977 361 345,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/beatriz-cambrils,NA,NA,NA
Yelp,sourcing_yelp,Les Barques,"Mediterranean, Seafood",NA,Spain,Cambrills,CBL,"Carrer Consolat de Mar, 6443850 Cambrils",NA,NA,NA,977 366 455,4  ,,https://www.yelp.com,https://www.yelp.com/biz/les-barques-cambrils-2,NA,NA,NA
Yelp,sourcing_yelp,Recasens Font Juan Maria,Restaurants,NA,Spain,Cambrills,CBL,"Calle PAU Casals, 3843850 Cambrils",NA,NA,NA,977 360 733,NA,,https://www.yelp.com,https://www.yelp.com/biz/recasens-font-juan-maria-cambrils,NA,NA,NA
Yelp,sourcing_yelp,La Boella,Spanish,NA,Spain,Cambrills,CBL,"Autovia de Tarragona Reus, Km.1243006 La Canonja",NA,NA,NA,977 771 515,4.5  ,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-boella-la-canonja,NA,NA,"NA
Mon Open 24 hours
Tue Open 24 hours
Wed Open 24 hours
Thu Open 24 hours
Fri Open 24 hours
Sat Open 24 hours
Sun Open 24 hours"
Yelp,sourcing_yelp,Miracle,Mediterranean,NA,Spain,Cambrills,CBL,"Rambla Nova, 843004 Tarragona",NA,NA,NA,877 071 565,5  ,1 review,https://www.yelp.com,https://www.yelp.com/biz/miracle-tarragona,NA,NA,"NA
Mon 9:00 AM - 12:00 AM (Next day)
Tue 9:00 AM - 12:00 AM (Next day)
Wed 9:00 AM - 12:00 AM (Next day)
Thu 9:00 AM - 12:00 AM (Next day)
Fri 9:00 AM - 12:00 AM (Next day)
Sat 9:00 AM - 12:00 AM (Next day)
Sun 9:00 AM - 12:00 AM (Next day)"
Yelp,sourcing_yelp,Forn Sant Salvador,"Desserts, Cafeteria, Bakeries",NA,Spain,Cambrills,CBL,Avinguda Diputació 2143850 Cambrils,NA,NA,NA,977 361 034,5  ,,https://www.yelp.com,https://www.yelp.com/biz/forn-sant-salvador-cambrils-2,NA,NA,NA
Yelp,sourcing_yelp,Farnos Escorihuela Eva Maria,Restaurants,NA,Spain,Cambrills,CBL,"Calle Valencia, 2943850 Cambrils",NA,NA,NA,977 360 740,NA,,https://www.yelp.com,https://www.yelp.com/biz/farnos-escorihuela-eva-maria-cambrils,NA,NA,NA
Yelp,sourcing_yelp,Guimera Coma Juan,Restaurants,NA,Spain,Cambrills,CBL,"Calle Cristofor Colom, 4543850 Cambrils",NA,NA,NA,977 368 420,NA,,https://www.yelp.com,https://www.yelp.com/biz/guimera-coma-juan-cambrils,NA,NA,NA
