Competitor,Country Code,City Code,hex7_tag,Restaurant Name,Ratings,Reviews,Tag,Restaurant Time,Min. Order,Delivery Charges,Restaurant URL,Created_at,Updated_at
tazz.ro,RO,BRV,871e5270cffffff,Restaurant Maestro,-.-,4,RomÃ¢nesc ,Deschide la 11:30,45 00 Lei,Free Delivery,https://tazz.ro/brasov/restaurant-maestro/623/partener,5/1/2021 13:00,5/1/2021 13:00
tazz.ro,RO,BRV,871e5270cffffff,Pizza Mikela,4.5,85,InternaÈ›ional ,Închide la 22:00,29 00 Lei,Free Delivery,https://tazz.ro/brasov/pizza-mikela/373/partener,5/1/2021 13:00,5/1/2021 13:00
tazz.ro,RO,BRV,871e5270cffffff,Beraria Pofta sau Foame,4.3,11,InternaÈ›ional ,Deschide la 12:00,FALSE,"4 99 								Lei",https://tazz.ro/brasov/beraria-pofta-sau-foame/3464/partener,5/1/2021 13:00,5/1/2021 13:00
tazz.ro,RO,BRV,871e5270cffffff,Pizza Napoli,4.2,9,Italian ,Închide la 21:30,50 00 Lei,Free Delivery,https://tazz.ro/brasov/pizza-napoli/3618/partener,5/1/2021 13:00,5/1/2021 13:00
tazz.ro,RO,BRV,871e5270cffffff,Broaster Chicken Brasov,4.2,15,InternaÈ›ional ,Închide la 22:00,35 00 Lei,"4 99 								Lei",https://tazz.ro/brasov/broaster-chicken-brasov/545/partener,5/1/2021 13:00,5/1/2021 13:00
tazz.ro,RO,BRV,871e5270cffffff,Casa Avram Iancu,4.1,415,RomÃ¢nesc ,Închide la 21:30,50 00 Lei,Free Delivery,https://tazz.ro/brasov/casa-avram-iancu/308/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Meatica,4.1,29,InternaÈ›ional ,Închide la 16:00,50 00 Lei,Free Delivery,https://tazz.ro/brasov/meatica/611/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Cityfood,4,118,InternaÈ›ional ,Închide la 18:00,35 00 Lei,Free Delivery,https://tazz.ro/brasov/cityfood/327/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Pizza Transilvania Brasov,4,8,InternaÈ›ional ,Închide la 22:30,50 00 Lei,Free Delivery,https://tazz.ro/brasov/pizza-transilvania-brasov/3556/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Pizza Divina,3.9,32,Italian ,Deschide la 16:00,40 00 Lei,Free Delivery,https://tazz.ro/brasov/pizza-divina/328/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Denny`s American Food,3.8,5,American ,Deschide la 13:00,1 00 Lei,"8 00 								Lei",https://tazz.ro/brasov/denny-s-american-food/721/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Transilvania Doner,3.8,9,InternaÈ›ional ,Închis,30 00 Lei,Free Delivery,https://tazz.ro/brasov/transilvania-doner/3559/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Grill Master,3.2,25,RomÃ¢nesc ,Închide la 21:30,FALSE,"4 99 								Lei",https://tazz.ro/brasov/grill-master/716/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Xin Yue Brasov,-.-,4,Chinezesc ,Închide la 20:00,50 00 Lei,"5 00 								Lei",https://tazz.ro/brasov/xin-yue-brasov/3622/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Da Vinci BraÈ™ov,-.-,1,InternaÈ›ional ,Închide la 20:30,50 00 Lei,Free Delivery,https://tazz.ro/brasov/da-vinci-brasov/3070/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Papa Bun,-.-,0,InternaÈ›ional ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/brasov/papa-bun/4666/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,BRV,871e5270cffffff,Velvet Bakery,-.-,0,InternaÈ›ional ,Închide la 21:00,30 00 Lei,"4 99 								Lei",https://tazz.ro/brasov/velvet-bakery/4669/partener,5/1/2021 13:01,5/1/2021 13:01
tazz.ro,RO,ORD,871e0aa9cffffff,Tucano Coffee,4.7,6,InternaÈ›ional ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/tucano-coffee/1279/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,RA Bistro Caffe,4.4,47,Italian ,Închide la 17:30,FALSE,"4 99 								Lei",https://tazz.ro/oradea/ra-bistro-caffe/645/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Captain Bean Oradea,-.-,0,Alimente È™i BÄƒuturi ,Închide la 17:00,10 00 Lei,"4 99 								Lei",https://tazz.ro/oradea/captain-bean-oradea/4748/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Bigy`s Food,4,132,InternaÈ›ional ,Închide la 20:45,12 00 Lei,Free Delivery,https://tazz.ro/oradea/bigy-s-food/137/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Sushi Master Oradea,4.6,25,Japonez ,Închide la 21:30,FALSE,"4 99 								Lei",https://tazz.ro/oradea/sushi-master-oradea/3911/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,KFC Oradea Lotus,4.6,218,American ,Închide la 20:45,30 00 Lei,Free Delivery,https://tazz.ro/oradea/kfc-oradea-lotus/1799/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Spartan Prima Shops,4.3,66,Grecesc ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/spartan-prima-shops/1280/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,La Turcu Kebap,-.-,3,Turcesc ,Închide la 22:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/la-turcu-kebap/4847/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Noodle Pack Prima Shop,4.1,10,InternaÈ›ional ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/noodle-pack-prima-shop/3442/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Noodle Pack Lotus Mall,3.7,9,InternaÈ›ional ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/noodle-pack-lotus-mall/3443/partener,5/1/2021 13:05,5/1/2021 13:05
