Competitor,Sourcing_competitor,Restaurant_name,Tags,Average_basket_value,Country,City,City_code,Address,Postal Code,Latitude,Longitude,Phone_number,Rating,Reviews,Website,URL,Takeaway,Delivery
Yelp,sourcing_yelp,Ruiz Olmo Antonia,NA,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,977 365 314,NA,Restaurants,https://www.yelp.com,https://www.yelp.com/biz/ruiz-olmo-antonia-cambrils,NA,NA
Yelp,sourcing_yelp,Restauracio Cambrilenca Tomas i Gami,NA,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,977 364 054,NA,Restaurants,https://www.yelp.com,https://www.yelp.com/biz/restauracio-cambrilenca-tomas-i-gami-cambrils-2,NA,NA
Yelp,sourcing_yelp,La Tagliatella,NA,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,977 373 018,4.5,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-tagliatella-la-pineda,NA,NA
Yelp,sourcing_yelp,NA,NA,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,NA,NA,NA,https://www.yelp.com,https://www.yelp.com/biz/espai-vi-tarragona,NA,NA
Yelp,sourcing_yelp,Bocoisl,NA,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,628 582 458,5,2 reviews,https://www.yelp.com,https://www.yelp.com/biz/bocoisl-tarragona,NA,NA
Yelp,sourcing_yelp,Acuario,Spanish,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,679 954 424,4,1 review,https://www.yelp.com,https://www.yelp.com/biz/acuario-cambrils,NA,NA
Yelp,sourcing_yelp,Mas Roselló,NA,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,977 241 828,5,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/mas-rosell%C3%B3-tarragona,NA,NA
Yelp,sourcing_yelp,La Botifarra,Catalan,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,977 216 551,5,3 reviews,https://www.yelp.com,https://www.yelp.com/biz/la-botifarra-tarragona,NA,NA
Yelp,sourcing_yelp,Bresca,NA,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,977 369 512,NA,Mediterranean,https://www.yelp.com,https://www.yelp.com/biz/bresca-tarragona,NA,NA
Yelp,sourcing_yelp,Deliranto,NA,NA,Spain,Cambrills,CBL,NA,NA,NA,NA,977 380 942,5,1 review,https://www.yelp.com,https://www.yelp.com/biz/deliranto-salou,NA,NA
